,Province_State,Date,Confirmed,Deaths
0,Alabama,2020-01-22,0,0
2414,Illinois,2020-01-22,0,0
6532,South Carolina,2020-01-22,0,0
2556,Indiana,2020-01-22,0,0
284,American Samoa,2020-01-22,0,0
6390,Rhode Island,2020-01-22,0,0
2698,Iowa,2020-01-22,0,0
6248,Puerto Rico,2020-01-22,0,0
2840,Kansas,2020-01-22,0,0
2982,Kentucky,2020-01-22,0,0
2272,Idaho,2020-01-22,0,0
6106,Pennsylvania,2020-01-22,0,0
5964,Oregon,2020-01-22,0,0
3266,Maine,2020-01-22,0,0
3408,Maryland,2020-01-22,0,0
5822,Oklahoma,2020-01-22,0,0
3550,Massachusetts,2020-01-22,0,0
5680,Ohio,2020-01-22,0,0
3692,Michigan,2020-01-22,0,0
3834,Minnesota,2020-01-22,0,0
5538,Northern Mariana Islands,2020-01-22,0,0
3124,Louisiana,2020-01-22,0,0
6674,South Dakota,2020-01-22,0,0
2130,Hawaii,2020-01-22,0,0
6816,Tennessee,2020-01-22,0,0
7952,Wisconsin,2020-01-22,0,0
426,Arizona,2020-01-22,0,0
568,Arkansas,2020-01-22,0,0
7810,West Virginia,2020-01-22,0,0
710,California,2020-01-22,0,0
7668,Washington,2020-01-22,1,0
852,Colorado,2020-01-22,0,0
8094,Wyoming,2020-01-22,0,0
994,Connecticut,2020-01-22,0,0
7526,Virginia,2020-01-22,0,0
1136,Delaware,2020-01-22,0,0
7384,Virgin Islands,2020-01-22,0,0
1278,Diamond Princess,2020-01-22,0,0
7242,Vermont,2020-01-22,0,0
1420,District of Columbia,2020-01-22,0,0
1562,Florida,2020-01-22,0,0
7100,Utah,2020-01-22,0,0
1704,Georgia,2020-01-22,0,0
6958,Texas,2020-01-22,0,0
1846,Grand Princess,2020-01-22,0,0
1988,Guam,2020-01-22,0,0
3976,Mississippi,2020-01-22,0,0
5396,North Dakota,2020-01-22,0,0
142,Alaska,2020-01-22,0,0
4260,Montana,2020-01-22,0,0
4544,Nevada,2020-01-22,0,0
4402,Nebraska,2020-01-22,0,0
4118,Missouri,2020-01-22,0,0
